Rating;Employee Status;Review Title;Date;Pros;Cons;Num People Helpful
4.0;Former Employee, less than 1 year;It's really up to you whether it's your heaven or your hell;Jul 27, 2018 - Anonymous Employee;"- the product is exciting and amazing, the company's success has been overwhelming so far;- steep learning curve and mostly knowledgeable, talented and work-driven coworkers. In dev, QA & design positions you have to either be your best self or catch up pretty fast, otherwise there's a chance you'd be fired;- this company looks pretty good on resume, plenty of startups and beyond will want you due to Revolut's fame of hard-working culture;- great freedom in expressing yourself, choice of technology and ability to make a direct impact on the product;- I really believe that the higher management cares about the product a lot, it's just they have such strong opinions on some of the processes that they're having a hard time finding a balance between being successful enterpreneurs / strong leaders and employers who care about and listen to their people. Also, not everyone agrees with them, but at least they are being brutally honest with other people instead of tiptoeing around - this is a skill I personally admire;- if you're interested not only in your field of expertise, but in other parts of the product and the bigger structure, you will be encouraged to explore and contribute;- great London accommodation, and with the new office it's even better!";"- yes, work-life balance is not good, but hardly anyone makes you work overtime. If you're really good at what you do and achieve tangible results, you can work usual hours. The other deal is that it takes a really strong, self-confident person immune to peer pressure to do that. I feel like overtime is appropriate at a company like that, but some people may burn out without realizing it;- Revolut's moral compass is certainly off. I've seen very talented people who were told they are worthless and ""can't make anything good"" just to trigger them to outdo themselves. The culture of being arrogant and supersmart is cultivated so heavily here that the majority seems to have forgotten that only a combination of people with very different skills (some visionaries, some hard-workers, some detail-oriented and some just very loyal) can create a good and complete project;- teamwork is not particularly encouraged, instead people are seen as self-sufficient units. For some of them, it works amazing, because they truly are. But some people here still require mentoring, discipline and a helping hand most of all, and can jeopardize the outcome of projects;- with being a startup, especially at this pace, comes lack of structure and chaos. Here, I think, having so many strong personalities on the team bites the management in the back. The lack of structure is not for the lack of trying, it's because a lot of people here believe it's their opinion that is right and refuse to compromise. Any agreements or possible solutions are criticized and ridiculed (externally or internally), and the chaos endures.";133
5.0;Former Employee;Great company;Sep 11, 2021 - Anonymous Employee;Interesting area to work in;Everything was abs perfect during my time.;0
5.0;Current Employee, less than 1 year;Very good;Aug 4, 2021 - Anonymous Employee;carrier progressionmanagerworking cultureteam members company partiescompany rewards;sometimes to much work if you want to meet all your KPI's but its in general manageable;1
5.0;Current Employee;Great company;Jul 22, 2021 - Junior Account Executive;Flexible hours, great benefits, just entered US market so great growth potential.;Cold calls, work from home so less team interaction.;2
5.0;Current Employee, less than 1 year;Not for the faint of heart or lazy;Oct 15, 2020 - Manager;They issue stock options like they do not have a limited supplyBleeding edge technology with lightning fast development and deploymentRemote work preferredSmall team where everyone contributesUnlimited Possibilities;Name recognition isn't that of Facebook or Amazon, being a European Borderless Bank, very few people in the US have heard of Revolut.Job Titles are under the European naming convention so their seniority and scope may be deceiving to the casual passersby. Subsequently the salary should be higher, it's not awful but everyone wants to be paid more. Especially considering start-ups where everyone is wearing multiple hats doing multiple jobs.Hiring Process seems excessive and the job descriptions may not be accurate.;4
5.0;Current Employee;Amazing company;May 12, 2021 - Recruiter;Great teams who are all goal-oriented.;Not as established in the US.;5
2.0;Former Employee, more than 1 year;So much potential;Jul 14, 2020 - Anonymous Employee;-Fair base salary compensation packages that include medical, dental, and 401k.-Hires brilliant and passionate people.-Beautiful offices.-Great product, interesting projects.-Huge success in Europe.-Ambitious growth plans.;"-All white male global executive team, as a matter of fact, no female executives in any of the countries across the globe, overall lack of females in leadership or managerial roles in general.-Your ideas and personal growth is not important to the company. Mistakes are not acceptable and shamed, at times publicly. I was in a virtual meeting where a colleague was called ""stupid"" by an executive. The best way to be successful at this company is to just do what you're told. The executives are very much feared and held in low regard.-Poor culture, there just isn't anything that people are happy to brag about here-Founders and global exec teams are too in the weeds. They require to be a part of every decision making process. This means there's a lack of trust and accountability to the said ""brilliant"" people who were hired. There's a lot of clashing of how things are ran and how it should be ran.-There's a lot more I could say here under cons, but I think you get the idea, and these were the most concerning to me. I hope you find it helpful.";77
1.0;Former Employee;They are losing to their Competition;Jul 27, 2021 - Anonymous Employee;HR was very nice and communicative though not located in the country in which the position was based— poor management decision there;Unsophisticated leadership that seemed overwhelmed, frankly. Typical fintech focused on gross growth over smart growth.;11
1.0;Former Employee, more than 1 year;Avoid US Team - Stock Option is joke;Feb 3, 2021 - Operation Manager;US：Full of A+ playersGood benefit Opportunities;the offer does not include the number of shares and the strike price.total compensation is much lower than the market.A+ players keep leaving the firm when they figure out the option value.no work-life balance.super high turnover rate reflet incapable management team;22
1.0;Former Employee, more than 1 year;Avoid at all costs.;Jan 19, 2021 - Anonymous Employee;You learn a lot, but your opinion won’t be valued.;Literally everything. Supervisors have no idea what they’re doing, and the CEO encourages micromanaging. They claim to encourage innovation, but if you disagree with the CEOs ideas you’ll most likely be fired. I’ve never seen so much turnover in one company in my life. The misogyny is strong here as well. Higher up employees frequently act inappropriately and there is no repercussion.  I am pretty sure the positive reviews are all from executive management.;43
5.0;Former Employee, more than 3 years;Great to work for. many benefits to employees and fun culture!;Oct 29, 2020 - Analyst;Great to work for. many benefits to employees and fun culture!;sometimes some projects get slow, but thats normal;6
1.0;Former Employee;Work culture is awful;Jun 1, 2018 - Anonymous Employee;The product itself is amazing, and it's exciting to watch it develop so quickly.;"The culture is by far the worst I've ever experienced. Many people don't know how to work together and will do whatever it takes to get ahead. I wouldn't even call the senior management team ""managers"". To them a work-life balance is laughable and unimportant. The turnover rate is alarmingly high.";128
5.0;Current Employee, less than 1 year;Efficient recruiting process;May 15, 2019 - Anonymous Employee;Agile, professional and very selective recruiting process. The HR team keeps you informed at all times of the status of your candidacy and meets the deadlines the commit to.;Home task is a little time-demanding;10
5.0;Current Employee, more than 1 year;Amazing company to work for;Jun 23, 2019 - Software Engineer;It's the perfect place to work.;I don't see any cons...;9
5.0;Current Employee, less than 1 year;Fantastic Recruitment Process;Jun 13, 2019 - Head of PR & Communications, North America;Working with Revolut to land this dream job was a breeze. They were responsive and so easy to work with!;I don't have any cons to mention;5
4.0;Current Employee, less than 1 year;Exciting work;Jun 17, 2022 - Senior Operations Manager;- Very exciting work - Smart people - Fair compensation- Trying to change the world- Can work anywhere and even take your dog into the office- Company is genuinely trying to improve their image;"- I do have some concerns about the culture as attrition is high and everyone is tracked via KPIs (even when KPIs aren't really the norm in those roles), this drives individualistic behaviours - Definitely isn't a place for non-high achievers; however, the company is very transparent about this- Performance reviews every 3 months and 2 on your probation";0
2.0;Former Employee, more than 1 year;A culture that encourages brown-nosing Line and Functional Managers;May 13, 2022 - Anonymous Employee;1. Globally recognised brand, leader in the neobank space2. Great benefits, especially when it comes to leave days 3. Flexible work arrangements;"1. If you offend your line/functional managers, you could suffer and receive an unfair grading during the quarterly performance review. This is made worse as there is no appeal process for you to defend your work. Since only line managers' and functional managers' gradings matter, this only encourages everyone to play nice and be ""supportive"" of their managers' every decision or pander to their egos. 2. Lack of autonomy at country-level means everything from budgets to hiring are dependent upon the graces of the global teams. Country CEOs are powerless and this in turn makes them afraid to speak up against decisions that don't make sense. 3. No accountability when it comes to certain individuals in the organisation, especially those close to the senior management. Everyone's KPIs and performances are monitored closely - to the point of micro-managing people's work and strategies. But nothing is said about their inability to meet their KPIs. 4. Focus on quarterly KPIs means that a lot of people - even the most brilliant ones - develop tunnel vision after spending some time at Revolut. So focused on quarterly KPIs that any plans or ideas that require longer time to yield results will be shot down.";6
2.0;Current Employee, more than 1 year;Toxic and unfair;May 17, 2022 - Software Engineer;Smart colleaguesYou'll get to do some interesting and challenging tasks, a decent opportunity for the beginning of your careerGreat product overall, you feel like you're making a difference, fast time to marketPerformance bonuses;"Poor work-life balanceNo job security, be ready to get kicked out after a quarterly performance reviewAn atmosphere of a constant competition instead of cooperationA lot of pressure from management, nobody really cares about the quality of the final product; you're going to jump from one project to another, not having enough time to build a good quality productNo QA, so as a dev you'll have to do all the testing on your ownChanging the performance bonus calculation scheme at the very last moment so that employees receive much less than was promised before, undermining trustNo salary adjustments for years, the company completely ignores the fact that there's inflation, so be ready to see inflation eating up your salaryVery hard to get promoted, extremely obscure requirements. Management might keep giving you the same grades over and over despite your effortsEmployees are treated as assets, which results in high turnover. Don't expect that your loyalty to the company will be appreciated";7
1.0;Former Employee, less than 1 year;Worst experience;Jun 15, 2022 - FIU Analyst;No proper training, no professionalism, no job security. During probation if your KPI will not meet they fired the employee without providing any 2nd chance or PIP.;Remote work and good salary;0
5.0;Current Employee, less than 1 year;Great Company to Work With - Progressive;May 11, 2022 - Business Control Officer;The best thing i like about working at Revolut is it is a very progressive minded company and there is flexibility to design your hours, your day and vacations and work all on your own. That gives you the confidence that there is trust.The other thing I love is that the people are very accessible and eager to help and that you are encouraged to bring ideas to the table to make the processes better which is great as you feel like you can really add value. Very excited to grow with the Firm in this new age.What I also love is the global mobility and exposure opportunities that it offers.;Like any other Startup, it is very dynamic and processes are still not set in stone and you have to be very fast paced to learn and enhance processes - this actually is a great learning opportunity.;1
5.0;Current Employee, more than 1 year;feedback;Jun 6, 2022 - Finance;The company is dynamic and energetic, possibility to work flexible hours, mostly great atmosphere inside the company;not clear how to reach promotion, some people managing little team on a mid position because senior position is not unattainable, communication between departments can be difficult, not easy to gathering information from the different departments;0
4.0;Former Employee;Revolut;Jun 16, 2022 - Anonymous Employee;Salary, office, benefits, product, remote;Pressure, employees rotation, very individual work inside a 'team';0
5.0;Current Employee;Great balance;Jun 16, 2022 - Strategic Partnerships;-Autonomy-Meritocracy-Great benefits-Working model-World class product;Ambitious deadlines can be challenging at times;0
4.0;Former Employee, more than 1 year;Good for the start;May 25, 2022 - FinCrime Analyst;- atmosphere in the office- flexible working hours- start-up envirnoment- good benefits;- changing rules for promotions after the time of the review- difficult to grow when you get to the certain point you stuck and the only way to grow is to leave and come back for better position (if you consider such option);0
5.0;Former Employee, more than 1 year;Very good company!;Jun 14, 2022 - HR Manager;Benefits, salary, team.Work environment is amazing and office as well.;very performance focused - demanding;0
4.0;Current Employee;Fintech;Jun 8, 2022 - AML Analyst;Revolut is the new start up company providing  financial services application to all the users in European countries. One application all the services.;It would be great if they make things work easier by using technology.;0
5.0;Current Employee, less than 1 year;The best FinTech company is...Revolut!;May 10, 2022 - FinCrime Analyst;The team is super friendly, no judgments regarding to your person is made by anyone. In Revolut I feel safe, I feel like I belong to this big family! Thank you!;While working in a big FinTech company, you'll have many responsibilities, but this applies to everything, so, if you are looking an easy job with no responsibilities, then, this is not for you. Here at Revolut, you need to be mature enough to understand all good principles and handle with any kind of situation. I would not consider this part of review as a Cons but as an advice. :);1
5.0;Current Employee, less than 1 year;SMB Account Execurive;May 30, 2022 - Account Executive;Possibility to work from anywhere in the world, everybody is new and learning a lot, you are working in finance but it feels like working for a tech company;The company is growing so fast it still feels a lot like a startup;0
5.0;Current Employee, more than 1 year;Great company;Jun 5, 2022 - Account Executive;"Strong culture; fast-paced environment giving you so much experience in very little time.";Ridiculously high KPIs, less than 50% of the workforce stays in the role for more than 6 months.;0
3.0;Former Employee, more than 1 year;Plenty of opportunities, not a sustainable way of working.;May 12, 2022 - Applications Security Engineer;- Amazing people: down to earth individuals with awesome ambition and ideas, the highlight of the work at Revolut was the people. - Interesting work, always doing something new instead of stuck in something you don't want to do - A lot of opportunities in things you wouldn't normally do in the security industry;- work / life balance: if you miss one deadline, you will probably miss many (snowballing)- company performance periods every 3 months, human factors do not seem to be considered. i.e. illness (very data driven) - stress, a lot of stress- high work load, it is not sustainable long term.. hence the high employee turnover rate.;4
5.0;Current Employee, less than 1 year;A lot of responsibility and autonomy for a PO;Apr 13, 2022 - Product Manager;Want I find great about being a PO at Revolut is how much the company trusts the PO to be autonomous. Very often PO becomes a glorified projected manager, trying to juggle competing initiatives from many stakeholders without any means to drive growth. That's not the case for Revolut. A PO can make decisions on their own and act very independently. I heard rumours about toxic culture and crazy hours, but have not encountered this at all, at least no more than at any other place I've worked at (I don't think any motivated and driven PO expects a 9 to 5 job without any extra hours at all).;You will probably end up doing more QA work than at other companies, as full responsibility for the product will also mean;0
5.0;Current Employee, less than 1 year;A rocketship with incredibly talented, motivated and mission-driven people;Mar 7, 2022 - Senior Product Manager;I'm a Senior Product Manager in the Fincrime team working on building tools, processes and product to ensure compliance, minimise business risk and deliver value to our customers. From the first day I joined Revolut, the work and people culture have been absolutely amazing! Everyone has a lot of mutual respect for each other and there's a very collaborative spirit in solving problems and working on projects. Revolut is a high growth startup so the career growth opportunities are endless - everyday I'm learning something new and it really motivates me to work harder and go above and beyond.Overall Revolut is a fantastic company to work for and I feel privileged everyday.;The engineering and product teams don't strictly follow Agile Scrum practices so sometimes there's not a disciplined approach to building and delivering products. However on the flip side, this is what makes Revolut a startup and sometimes processes and rules are meant to be broken :);2
5.0;Current Employee, less than 1 year;Great company to work for;May 22, 2022 - Customer Service Specialist;Stable employment, great salary, lovely people;"Usually in corporations, you have to be very careful with KPIs and other things like thatA lot of work but that’s a givenYou need to learn really fastBasically: you will work. There is no space for you to pretend to work, so don’t even try ;)";1
5.0;Current Employee, more than 1 year;Great place to learn, develop and grow;May 25, 2022 - Recruiter;fast growinglots potentialsuper smart people, you work with real professionals you can have an impactflexible working;might be challenging sometimes - mainly due to the company growth - rather standard think in those kind of companiesa bit unstructured (but again, still start up mentality);1
5.0;Current Employee, less than 1 year;Good place to work;Jun 6, 2022 - Anonymous Employee;Good place to work and great work culture;There are no cons so far;0
5.0;Current Employee, less than 1 year;5* best environment to work;Jun 1, 2022 - Junior Quality Analyst;"Flexibility to work where I want;Friendliest environment ever;We are all with the same mind set;...";Actually, I don't have any cons!;2
4.0;Current Employee, less than 1 year;Great Workplace;Jun 7, 2022 - Data Analyst;Lots of Learning opportunities here;Work moved pretty fast here;0
5.0;Current Employee, less than 1 year;Love working at Revolut;Dec 30, 2021 - Recruitment Sourcer;1. Hard work is rewarded2. Quick promotions3. There is a clear road map about what you need to do in order to progress to the next level4. Revolut gives a chance to candidates who have had a break in their career5. Excellent maternity policy6. Excellent leave policy7. Working hours are flexible8. Revolut lets you work 60 days from outside the country in a year9. Invests in software that help make employees jobs easier10. The recruitment team that I work with is excellent;1. Revolut has the worst HR ever where when you raise a ticket for a problem being faced, you chase the person the ticket was assigned to but get no reply2. HR makes mistakes and does not want to be held accountable for it and the employees have to suffer unless they take a strong stance3. The management is not on the same page regarding a lot of things and one person would say one thing and the next would be saying the complete opposite which confuses juniors/mids in the teams4. Too many reporting managers with one to one sessions with each of them weekly is a bit too much at times;5
5.0;Current Employee, more than 1 year;Rewarding place for ambitious people;May 9, 2022 - Product Owner;- Fast paced environment that incentives ambitious, self-driven people- High rewards for employees who are performing well, both in cash and shares- As a Product Owner you really own your part of the product, from designs to implementation, through operations, maintenance, aligning with stakeholders (both internal end external) - full experience- Possibility to work with top talent in the industry - engineers/managers/etc;Working in high pace environment can sometimes be tiring / can cause burnout;1
5.0;Current Employee, more than 3 years;Revolut as a place to work;May 25, 2022 - Operations Manager;- really smart people around, a lot of opportunities to learn- benefits- the possibility of fast growth within the company- schedule flexibility;for some people would be tough to cope with the workload of the position;1
1.0;Current Employee, more than 3 years;Warning: toxic environment and sick political games;Mar 4, 2022 -;Nice benefits and cool merchandise (hurray!);Inhumane leadershipLack of care for employees' well-being (although they proud themselves of it, which in practice is a joke)Unprofessional behaviour disfavouring some due to personal reasons rather than their actual work performanceToxic culture and no work/life balanceMicromanagement and unachievable expectations with little to no trainingDishonesty is a given - they will promise the world verbally, then will not honour anything and claim those promises weren't madeComplete disregard for employees' career goals, moving them around as it's most convenient to them, even if it means deviating completely from your career pathLeaders manipulate and disrespect employees below them, while using them to look good to their superiors, who are hence obviously led to think anything is the team's fault, rather than poor people managementCareer progression? Maybe, if you work 14+ hours/day, give up on anything unrelated to work, dedicate 200% of yourself to achieving KPIs that are not set properly, and pray that they don't find any technicality not to give you a promotion (which I've seen happening numerous times), and it's still a huge MAYBEThe list could go on...;3
5.0;Current Employee, more than 1 year;Good place to work!;Jun 3, 2022 - Business Support Specialist;Recognition, competitive salary, the staff are real nice;It can be demanding sometimes.;0
5.0;Former Employee, more than 1 year;Amazing place to grow;Jun 2, 2022 - Ops Manager;- Fast pace environment- Lot of responsibility;- Not for everyone, long hours;1
5.0;Current Employee, less than 1 year;Exciting and dynamic;Apr 4, 2022 - Chief Lending Officer;"- True to values - especially ""Get ()it done""- Amazing tech, working from day 1- Impressive, intellectual colleagues- Very clear ""due north"" for the company- Incredibly transparent - people say what they mean - far less politics than big banks I've worked in- Genuine home / office work flexibility";"- Pension contributions are minimal- Culture can appear slightly ""harsh"" at times - but this is a worthwhile trade-off for people playing with a straight bat and being honest / transparent about their views";6
5.0;Current Employee;Good company;Jun 1, 2022 - Anonymous Employee;They supported me a lot cocerning the accomodation and the polish language;As far as I know none;0
2.0;Current Employee;Not a place to stay for long;Jun 12, 2022 - Backend Developer;Challenging environmentInteresting domainGood salary;Lack of documentation for internal frameworks and servicesHard to get support from anyone outside your team Poor agile culture, lack of teamworkObsession on KPIs;0
5.0;Current Employee, more than 1 year;Brilliant people and perfect environment for professional growth;May 25, 2022 - Anonymous Employee;- multiple opportunities for development- high salary and good benefits package- great people - best in their sphere;- some of the processes are not set up properly;0
4.0;Current Employee;Nice place to learn a lot;May 3, 2022 - Software Engineer - Java Developer;Great team of qualified developers. High quality of code and architecture.;Hr support is really not that good. It does not impact daily work, but sometimes it worries and disappoints a lot.Also, company does not hire many people with seniority, that impacts on growth of some teams;0
5.0;Current Employee;n/a;May 31, 2022 - Sales Development Representative (SDR);good perks, good team, big offices;very little to complain about;0
4.0;Current Employee, more than 1 year;Overall Positive;May 24, 2022 - Python Software Engineer;Lots of smart peopleTaking ownership of projectsLots of opportunity;ChaoticAggressive managementCommunication can sometimes be difficult;1
5.0;Current Employee;Great company;May 18, 2022 - FinCrime Analyst;Company values , employers recognition, career growth;Not a big range of options in terms of investing on employers carrer specific studies . Salaries could be higher, similar companies might pay a little bit more.;1
4.0;Current Employee, less than 1 year;Top-Down management, but room for growth.;Apr 4, 2022 - Data Analyst;- Benefits : Gym Membership, Food, 100% WFH, 26 days of leave plus bank holidays. - Growth : Room for growth if you work on your soft skills and are more than average. - Work Life Balance : During project delivery times, it becomes chaotic. Otherwise all good. - Team : Extremely smart people from diverse backgrounds.;- Chaotic : Given it's a startup, it's experiencing growing pains. - Hiring : Sometimes, they hire when they shouldn't which results in classic redundancies from the middle management and long meetings. - Pay : Could be better. They tend to hire for job positions Mid and below in cheaper countries.;1
5.0;Current Employee, more than 1 year;Fast pace, fun and innovative! A company to really consider working for!;May 9, 2022 - Security;- Fast pace- Autonomous way of working- Ability to propel your career- Flexible working (on location);- Long hours- Pension offering isn't good- General company benefits could be better;0
1.0;Former Employee;Odd, cartoonish and disorganised culture - you can do much better than work here.;Feb 23, 2022 - Anonymous Employee;Some genuinely great colleaguesA fantastic consumer banking app;- Certain C-Suite members  are aggressive and disinterested in anything other than their own opinions of solving problems- Micro management is off the scale and counterproductive- A deeply flawed and toxic work environment that demonstrates very low trust in anyone that is isn’t an ‘operating partner’ or c-suite - High staff turnover at all levels - many examples of working closely with someone one week only to find them ‘deactivated’ the next;15
5.0;Current Employee, less than 1 year;Feels great to be part of Revolut!;May 11, 2022 - Anonymous Employee;-WOW salary-WOW benefits-WOW employee events-WOW career progression opportunities;This is not a typical 9-5 job (which is not necessarily bad). So expect to get quite busy through the day but also with flexible hours as long as you get things done!;1
5.0;Current Employee, more than 3 years;Best place to learn and grow.;May 20, 2022 - Quality Control;Great peopleCommitted peersOpportunities to grow;Overwhelming every so often. There's too much work, and not enough people to cover the demands.;0
4.0;Former Employee, less than 1 year;Great Work Experience;May 23, 2022 - Crime Analyst;"Sense of belonging;Good team spirit and communication;Great leadership.";"Work shifts;Unrealistic KPI's;Salary and Benefits could be more suited to the responsability/dificulty of the job.";0
5.0;Current Employee;Great company to work for;May 20, 2022 - Sales Representative;Great work life balance. Would def recommend;None so far, only been with the company for a few months;1
3.0;Current Employee;Meh it’s ok;May 24, 2022 - Operations Manager;-High achievers -Lots of really good experience -Data driven so decisions are backed up by numbers-Some teams have a decent culture-Free cereal-work from wherever;-Aggressive way of working is encouraged, for me, it’s toxic, others thrive in it…-Longevity of employees is poor, people get fed up of the culture, always tripping over deactivated accounts -Work life balance is poor for most people, expect to get messaged at all times of the day;2
1.0;Former Employee;...;Jun 15, 2022 - Business Analyst;remote working is the only thing which is good in this company;job security, better hr, better training, better SOP and better managers;0
5.0;Current Employee, more than 3 years;Unique career accelerator for the right people;Apr 25, 2022 - Lead Product Owner;Meritocracy: people that perform advance very very quicklyUnrivalled ambitionSteep learning curveSmartest colleagues I've ever worked withOwnership and autonomy from day 1;It's been an unreservedly great experience for me but it's not for everyone. People that do well are committed to delivering results, possess grit and are comfortable giving and receiving honest and direct feedback;2
5.0;Current Employee, more than 5 years;Great place to grow;May 17, 2022 - Senior Operations Manager;Great place to grow and expand your skills in the fintech giant;work-life balance is a bit of a challenge;1
